artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Pharrell Williams,Just A Cloud Away,Just A Cloud Away,0DGTcMqvVR7fmBXgiG6jz4,0.89,0.46,2,-8.155,1,0.0359,0.432,0,0.11,0.677,112.555,176078,3
Bill Withers,Menagerie,Lovely Day,0bRXwKfigvpKZUurwqAlEh,0.692,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.923,254560,4
Al Green,Let's Stay Together,Let's Stay Together,63xdwScd1Ai1GigAwQxE8y,0.756,0.401,7,-10.702,0,0.0526,0.582,0.011,0.0541,0.514,101.954,199396,4
Leon Bridges,Coming Home (Deluxe),Coming Home,65GbQI9VDTs7vo6MJL2iJA,0.424,0.465,6,-6.595,1,0.0297,0.461,5.52e-05,0.154,0.462,112.418,206387,3
Marvin Gaye,United,Ain't No Mountain High Enough,7tqhbajSfrz2F7E1Z75ASX,0.663,0.6,7,-10.87,1,0.032,0.43,0,0.184,0.8,129.991,151667,4
The Jackson 5,Anthology: Jackson 5,I Want You Back,3tSi6iFO9yLGIYIqMEgjC9,0.67,0.584,8,-8.325,1,0.034,0.439,0.00614,0.178,0.944,98.185,179227,4
The Temptations,The Temptations Sing Smokey,My Girl,745H5CctFr12Mo7cqa1BMH,0.572,0.418,0,-10.738,1,0.0349,0.635,0,0.0961,0.694,104.566,165000,4
Durand Jones & The Indications,Private Space,Ride or Die,6KNV6L3b7beomEUnzWgw0X,0.607,0.629,2,-10.509,1,0.0406,0.375,0.0806,0.0844,0.688,101.974,254722,4
Bill Withers,Just As I Am,Ain't No Sunshine,1k1Bqnv2R0uJXQN4u6LKYt,0.527,0.415,4,-11.451,0,0.122,0.457,1.72e-05,0.117,0.515,78.169,125093,4
Stevie Wonder,Songs In The Key Of Life,Sir Duke,4pNiE4LCVV74vfIBaUHm1b,0.588,0.568,6,-9.766,1,0.0672,0.16,0,0.0792,0.952,106.938,232760,4
