artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Rema,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),0WtM2NBVQNNJLh6scP13H8,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,239318,4
Bakar,Will You Be My Yellow?,Hell N Back,6xxG3HbexOhJKyiLmtUPhT,0.633,0.684,10,-4.314,0,0.591,0.314,8.95e-05,0.112,0.725,209.688,213573,4
Calvin Harris,Funk Wav Bounces Vol.1,Slide (feat. Frank Ocean & Migos),7tr2za8SQg2CI8EDgrdtNl,0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,0.511,104.066,230813,4
Jubël,Triple A (feat. NLE Choppa),Triple A (feat. NLE Choppa),7JKIP5eWwPfpijXDU5EmZf,0.739,0.888,1,-5.627,0,0.0457,0.0215,0.0,0.318,0.881,112.009,158896,4
SZA,Good Days,Good Days,3YJJjQPAbDT7mGpX3WtQ9A,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204,4
anees,summer camp,sunny day,7dA3NRsBnVKtQZgjR5Lzf8,0.657,0.392,5,-9.161,1,0.309,0.478,0.0,0.207,0.769,168.202,172355,4
Kali Uchis,Red Moon In Venus,Moonlight,0JmnkIqdlnUzPaf8sqBRs3,0.642,0.706,7,-6.872,0,0.052,0.518,0.0,0.25,0.896,136.851,187723,4
Bobby Caldwell,What You Won't Do for Love,What You Won't Do for Love,6Dk5fHTvH897XrVzCO64Mx,0.642,0.396,6,-16.843,1,0.0642,0.462,0.000823,0.106,0.797,84.082,286493,4
Childish Gambino,"""Awaken, My Love!""",Redbone,0WtDGnWL2KrMCk0mI1Gpwz,0.745,0.353,1,-10.614,1,0.0983,0.174,0.00662,0.118,0.598,160.111,326933,4
Glass Animals,Dreamland,Heat Waves,3USxtqRwSYz57Ewm6wWRMp,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4
Coi Leray,Players,Players,6UN73IYd0hZxLi8wFPMQij,0.954,0.516,6,-5.817,1,0.16,0.03,7.54e-06,0.0504,0.624,105.001,139560,4
Mac Miller,K.I.D.S. (Deluxe),The Spins,7FAFkQQZFeNwOFzTrSDFIh,0.794,0.766,9,-3.894,0,0.0377,0.0135,0.0,0.0785,0.55,127.006,195873,4
