artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Mark Ronson,Late Night Feelings,Nothing Breaks Like a Heart (feat. Miley Cyrus),02dRkCEc8Q5ch4TTcnLxOn,0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36e-06,0.418,0.244,114.066,217099,4
Ava Max,Diamonds & Dancefloors,One Of Us,1ItdTDx23yt7tIJOZv5iLQ,0.626,0.842,0,-3.827,0,0.0357,0.014,0.0,0.235,0.55,145.03,178010,4
NEIKED,Better Days (NEIKED x Mae Muller x Polo G),Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,0.717,0.671,0,-5.077,0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,160657,4
Olivia Rodrigo,SOUR,deja vu,6HU7h9RYOaPRFeh0R3UeAr,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,215507,4
Tears For Fears,Songs From The Big Chair (Super Deluxe Edition),Everybody Wants To Rule The World,4RvWPyQ5RL0ao9LPZeSouE,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,251489,4
The Weeknd,Save Your Tears (Remix),Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014,4
Miley Cyrus,Flowers,Flowers,0yLdNVWF3Srea0uzk55zFn,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,200455,4
Harry Styles,As It Was,As It Was,4LRPiXqCikLlN15c3yImP7,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4
Billie Eilish,Bellyache,bellyache,51NFxnQvaosfDDutk0tams,0.695,0.573,4,-8.597,0,0.106,0.46,0.0734,0.482,0.408,99.939,179172,4
Billie Eilish,dont smile at me,watch,7eB1V5LvAdxCc7brfGhRRo,0.441,0.599,0,-8.985,1,0.225,0.333,0.00198,0.103,0.35,165.212,177523,4
Lorde,Melodrama,Supercut,6K8VQ84MqhsoakN5MjrnVR,0.562,0.437,0,-10.229,1,0.052,0.219,2.18e-05,0.0806,0.15,124.852,277506,4
Justin Bieber,Justice,Ghost,6I3mqTwhRpn34SLVafSH7G,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190,4
Julia Michaels,Inner Monologue Part 1,What A Time (feat. Niall Horan),5WtfUKzXircvW8l5aaVZWT,0.516,0.467,0,-6.184,1,0.0302,0.662,0.0,0.0853,0.386,132.861,173307,4
Halsey,Manic,You should be sad,7lidXGPXPYLNThITAOTlkK,0.591,0.585,2,-6.35,1,0.0277,0.143,0.0,0.109,0.324,110.94,205473,4
Em Beihold,Numb Little Bug,Numb Little Bug,3o9kpgkIcffx0iSwxhuNI2,0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.974,169238,4
Galantis,Heartbreak Anthem (with David Guetta & Little Mix),Heartbreak Anthem (with David Guetta & Little Mix),5K6Ssv4Z3zRvxt0P6EKUAP,0.595,0.784,1,-4.878,1,0.102,0.216,0.0,0.0608,0.479,124.111,183726,4
Robyn,Body Talk Pt. 1,Dancing On My Own,3Rc2ajBMInxeNGVkMPC92Y,0.678,0.871,6,-4.781,1,0.0342,0.0587,0.249,0.0928,0.28,117.029,285973,4
MUNA,About U,Crying On The Bathroom Floor,6nVKC0GCQrf9MQSJgYiaEr,0.57,0.836,1,-6.431,1,0.103,0.1,0.0,0.173,0.318,114.96,255507,4
The Weeknd,Dawn FM,Best Friends,1E5Xu8dur0fAjSP1VpVhAZ,0.737,0.564,4,-7.045,0,0.105,0.436,0.0,0.351,0.528,90.0,163504,4
Caroline Polachek,Pang,So Hot You're Hurting My Feelings,5B6Kjha6RRIMWGN7zGsAaT,0.795,0.576,6,-4.971,1,0.0289,0.0787,1.01e-05,0.121,0.847,111.975,183861,4
Cast of High School Musical: The Musical: The Series,High School Musical: The Musical: The Series (Original Soundtrack),All I Want,1v6svH1Fyx9C1nIt1mA2DT,0.376,0.43,0,-6.585,0,0.0328,0.0902,0.0,0.0912,0.129,77.599,177323,3
Selena Gomez,Rare,People You Know,63mdJr3NMY3wReOkNE6c6W,0.695,0.62,8,-8.082,0,0.0521,0.0881,5.43e-05,0.111,0.62,150.032,194900,4
Bea Miller,feel something,feel something,7JDWhC422Gtk1Bq0mL3OTC,0.74,0.415,0,-8.914,1,0.0707,0.242,0.000156,0.319,0.156,136.029,180161,4
FKA twigs,CAPRISONGS,tears in the club (feat. the weeknd),1GsSM1Fju5J1Fsu51jEsTg,0.616,0.717,8,-6.178,1,0.11,0.194,9.81e-05,0.0731,0.72,167.99,196760,4
Ariana Grande,My Everything (Deluxe),One Last Time,7xoUc6faLbCqZO6fQEYprd,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026,197267,4
thuy,girls like me don't cry,girls like me don't cry,2DtUUBwYwEzKMTMDrc5EiO,0.871,0.372,0,-9.077,0,0.0413,0.253,1.6e-06,0.104,0.608,110.011,214387,4
ABBA,Voulez-Vous,Angeleyes,7rWgGyRK7RAqAAXy4bLft9,0.719,0.922,11,-6.091,1,0.0338,0.523,0.000163,0.0867,0.964,133.113,260893,4
Sabrina Carpenter,emails i can't send,because i liked a boy,32FhTAAjKZaBein150o3Px,0.386,0.592,11,-7.299,1,0.374,0.363,0.0,0.117,0.161,146.879,196458,4
Conan Gray,Telepath,Telepath,3Z39gbqdaGL3WJXBG0gcuE,0.606,0.819,9,-4.804,1,0.049,0.00298,0.0,0.0702,0.744,75.006,194973,4
Elley Duhé,MIDDLE OF THE NIGHT,MIDDLE OF THE NIGHT,58HvfVOeJY7lUuCqF0m3ly,0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,185.727,184448,3
Tate McRae,feel like shit,feel like shit,2EBnvom1dTybtm75a3Xh1T,0.508,0.378,7,-7.158,1,0.0473,0.516,0.0,0.119,0.161,144.962,204315,4
