artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Graham Carter,WITHOUT ME,WITHOUT ME,5K17WcyVoqa4lugxn5RcxP,0.694,0.3,8,-7.538,1,0.0356,0.853,0,0.109,0.589,133.948,180998,4
The Mayries,As It Was,As It Was,6Cvti10W0AzmzG9D1tpuKp,0.505,0.21,11,-11.349,1,0.0295,0.907,0,0.11,0.323,80.721,176542,4
Fox & Hart,Flowers,Flowers,1AOKBOPdN4pnULaZsp362f,0.22,0.236,10,-12.952,0,0.0385,0.633,0.00718,0.137,0.188,206.488,214260,4
Bailey Jehl,Iris,Iris,3Ebx5xEUEoB6iod7vSak8R,0.605,0.316,0,-8.924,1,0.0319,0.869,2.87e-05,0.14,0.344,134.054,165224,3
Jessy Hayden,Chasing Cars (Acoustic),Chasing Cars (Acoustic),7segX2a0fynh3OYFyHnsqI,0.572,0.0946,1,-13.099,1,0.0327,0.787,2.27e-05,0.13,0.176,103.864,221762,4
Marco Foster,Marco Foster,Crying (feat. Kaelin Kost),2MbiDqLg76Ww2LbiqYDZ1T,0.331,0.234,0,-9.714,1,0.0372,0.9,0,0.124,0.222,178.52,180000,4
Van Bascom,Kill Bill,Kill Bill,3ddC5DvTZnhQxVKNqYIBrq,0.733,0.277,2,-11.661,1,0.0315,0.806,6.39e-06,0.207,0.411,115.968,216032,4
middle of june,lonely together,lonely together,1qKOTnd7iewqEKfJxMFcWn,0.434,0.386,0,-7.913,1,0.0339,0.932,0,0.0944,0.558,82.841,201105,4
who's heather,she's all i wanna be,she's all i wanna be,6Dbz3vfI07Ox7QDZTSkNuJ,0.531,0.219,5,-12.894,1,0.0331,0.718,0.361,0.129,0.121,139.84,197357,4
Mia Rainn,Those Eyes,Those Eyes,4HyBPhQQodPLaf5solOIDN,0.595,0.184,9,-9.173,1,0.0331,0.795,0,0.15,0.106,102.003,164229,3
VDVM,A Thousand Years,Say something - Acoustic,3joOiBGjO4ExbXUQNxafN3,0.363,0.16,0,-10.093,1,0.0385,0.934,0,0.0753,0.0994,166.631,206301,3
Roses & Frey,Another Love,Another Love,5PPxzfqf3Sw2JAna4kRvuh,0.534,0.164,2,-12.222,1,0.0287,0.936,2.7e-05,0.157,0.274,94.928,205987,4
Fox & Hart,Visiting Hours (Acoustic),Visiting Hours (Acoustic),2jf62eJL5GepSpGDy61pcK,0.513,0.218,8,-12.023,1,0.037,0.817,3.31e-06,0.105,0.253,95.842,197203,5
Jack Vallier,SOS,SOS,2IfYpa1MOT2tuvgH4i0gBr,0.338,0.0879,6,-16.249,0,0.0721,0.971,5.39e-06,0.111,0.129,58.398,162461,4
Macy Ellen,Boy's A Liar,Boy's A Liar,1EOdKbgizAfNRV6j2Rm3E3,0.342,0.214,5,-15.341,1,0.045,0.897,0,0.0927,0.257,79.897,220000,4
Sighting,Anti-Hero,Anti-Hero,4RcpUHWXC8lgTNyitAFO9m,0.405,0.315,5,-12.44,1,0.204,0.764,0,0.103,0.247,80.414,223625,4
aeseaes,Running Up That Hill,Running Up That Hill,64nuOnXck45GgD9y6smVBf,0.636,0.235,8,-12.773,0,0.0324,0.842,0.00093,0.126,0.138,75.982,269067,4
Hanster,Die For You - Stripped Version,Die For You - Stripped Version,7GEmS0mDQc9b7MjRjHi7z7,0.672,0.232,8,-12.704,0,0.0474,0.901,0,0.142,0.548,109.874,216000,4
WestSouth,Ceilings,Ceilings,50akjhvSXjPASWlkD1XSCd,0.543,0.3,4,-9.706,1,0.0322,0.883,0,0.101,0.368,127.668,199687,3
Canyon City,Refuge,Fix You,0J4sK2VO75cRSVoj0FokQn,0.522,0.152,2,-14.996,1,0.0303,0.788,2.37e-05,0.148,0.133,144.055,261667,4
Simon Sage,Circles,Circles,3bgtpRltZVISs1jo7ouspO,0.783,0.348,8,-8.005,1,0.0337,0.808,0,0.201,0.616,118.99,132025,4
POOL KIDS,Nights Like This (Acoustic),Nights Like This (Acoustic),5qmBaa3MtKuyKy79WTUaBo,0.688,0.338,2,-9.18,1,0.0364,0.745,0,0.0877,0.467,108.056,223508,4
seaiiana,Cupid,Cupid,0HW5NpqReqUh6EsPaRTUav,0.542,0.129,0,-14.444,1,0.0598,0.938,0,0.0817,0.477,107.767,181111,4
Mother's Daughter,Glimpse of Us,Glimpse of Us,7rhqdS0YOoPXsA4vHXvMPG,0.601,0.171,7,-10.349,1,0.0346,0.942,1.64e-05,0.0903,0.239,131.046,232003,3
Linus Svenning,SO SICK,SO SICK,2BHRn8S5D2QQQCX7sj2zUZ,0.557,0.243,3,-12.119,1,0.0319,0.796,0,0.152,0.665,109.095,128938,3
since always,Sure Thing,Sure Thing,0b8ZH4B3FM4HHDabjfZFTL,0.542,0.214,6,-17.943,0,0.0415,0.957,0.00025,0.0936,0.226,145.916,239178,4
Kim & Otto,Better Now (Acoustic),Better Now (Acoustic),7BSAXJ5iT5ERuzduIvX8Ol,0.737,0.223,11,-11.599,1,0.0478,0.919,0.000395,0.103,0.509,120.005,220070,4
Suburban Cowboy,Miss You,Miss You,6TePuyzy8g6wH55fj2dPwi,0.565,0.209,8,-16.548,0,0.0327,0.896,0,0.125,0.352,170.033,211059,4
JML,see you soon,see you soon,3lAWDyjTH7SeHckJRJOGrf,0.411,0.238,4,-13.959,1,0.0386,0.855,1.15e-05,0.13,0.55,169.36,158647,4
Amber Leigh Irish,Save Your Tears (Acoustic),Save Your Tears - Acoustic,5LuSu8fS8PGCH88EDPLYcy,0.693,0.111,0,-12.356,1,0.0379,0.937,1.47e-06,0.0858,0.247,110.813,177818,4
VDVM,Just The Two Of Us - Acoustic,Just the Two of Us - Acoustic,4PF2XC8shB2w4g66MaXyEH,0.512,0.177,11,-12.762,1,0.0467,0.9,0,0.116,0.346,145.341,186008,4
Kim & Otto,We Found Love - Acoustic,We Found Love - Acoustic,4qdLbr82uc46ZDr7pPsbR0,0.418,0.199,2,-13.493,1,0.0294,0.761,2.59e-06,0.113,0.221,104.954,157714,4
Fox & Hart,Call Your Girlfriend - Acoustic,Call Your Girlfriend - Acoustic,2tLoJAFgiB6uw6tDNCtbgd,0.321,0.179,7,-11.125,1,0.0332,0.743,1.26e-05,0.0846,0.329,91.526,231250,4
Nicole Morenno,Love Hurts,Love Hurts,7wNJQxgDgLZ6cr3aYFHxpM,0.605,0.197,7,-10.646,1,0.0251,0.754,1.9e-05,0.104,0.185,68.01,202279,4
Isaac Hale,STAY,STAY,1ejniTp6tQF5xULkomIwrj,0.639,0.411,4,-8.23,1,0.0285,0.82,0,0.151,0.621,139.839,132789,4
The Mayries,Lavender Haze,Lavender Haze,0MqOE4bDEgNBsQi9y8kcZ1,0.326,0.123,8,-15.268,1,0.0355,0.977,0,0.116,0.193,77.773,223438,4
savs house,happier than ever,happier than ever,3NYD2Npbsdm7VAxmXm4lFD,0.295,0.406,11,-7.86,0,0.0317,0.867,0,0.353,0.102,132.066,192646,3
Theresa Chase,Eyes Closed,Eyes Closed,1MFZQ3L9XixU9Hi3XLXeRl,0.461,0.199,3,-11.439,1,0.0392,0.791,1.43e-06,0.112,0.309,150.266,203604,4
Beth,The Scientist (Acoustic),The Scientist - Acoustic,5J2ZFB7p7087vLpXT4seLC,0.531,0.144,10,-13.55,1,0.0359,0.94,0,0.103,0.346,159.773,207093,4
VDVM,She Will Be Loved - Acoustic,She Will Be Loved - Acoustic,6iRI1Fgj3gdzilONqNlV4d,0.561,0.195,0,-10.376,1,0.0359,0.769,0,0.106,0.332,97.771,258367,4
since always,Creepin’,Creepin’,1ktYzx7JaD2xH1SmhWmIXX,0.52,0.171,9,-17.128,0,0.0413,0.917,0.483,0.0953,0.0396,119.779,248099,4
Lotte Kestner,Covers,How to Disappear Completely,5vwSnh3F0lK7VIQfqZw8l6,0.461,0.0768,0,-20.277,0,0.0341,0.958,0.851,0.108,0.0789,129.538,331264,3
Mother's Daughter,Forget Me,Forget Me,35hEBYKKgxPP0wJHCtqPB2,0.634,0.208,4,-9.351,1,0.0396,0.944,0,0.128,0.362,78.005,199995,4
Norah Davis,All of me - Acoustic,All of me - Acoustic,5vWzHxL50EEk7GCEBhXwrQ,0.344,0.188,11,-10.568,1,0.0323,0.866,0.000612,0.178,0.339,99.408,268552,4
Beth,Darkside (Acoustic),Darkside - Acoustic,7EI5jemm1FyqmKQ7BLpdW9,0.703,0.11,4,-10.542,1,0.0354,0.941,0,0.0895,0.695,77.089,156672,4
Daniel Robinson,"Covers, Vol. 2",I Wanna Dance With Somebody,51oIXpuAbCMXnH4bTJxf9m,0.653,0.223,8,-13.927,1,0.0316,0.934,0,0.104,0.38,113.107,172909,4
The Mayries,Overpass Graffiti,Overpass Graffiti,3tob5ofeuvFKKSbOTldenC,0.479,0.126,1,-13.974,1,0.0303,0.966,0,0.113,0.279,96.327,226604,4
Norah Davis,Jealous (Acoustic),Jealous (Acoustic),24De0ebxOCeIgrkuPknUUX,0.527,0.182,10,-10.531,0,0.0613,0.821,0,0.124,0.206,84.572,211640,4
roger weeks,Come Clean (Sad Girl Version),Come Clean (Sad Girl Version),75XGUa45BKb0mjgd8hzj6O,0.431,0.209,0,-13.704,0,0.0475,0.811,0,0.112,0.174,111.833,154633,4
Beth,Thank You (Acoustic),Thank You - Acoustic,7rwzCJM2eMGhU0aBbp0M8t,0.603,0.15,10,-12.834,1,0.0464,0.958,0,0.133,0.361,122.561,165297,4
Roberta Loki,Sparks,Sparks,5OKWAL4qNRUz28CBWEU411,0.64,0.198,4,-11.986,1,0.0292,0.651,4.68e-05,0.0985,0.142,103.951,256731,3
Bailey Jehl,The Reason,The Reason,2B4TIqs4j2ra9BFM29Cqtc,0.571,0.17,6,-12.342,1,0.0311,0.956,7.89e-06,0.105,0.269,136.273,179737,4
who's heather,apologize,apologize,2UQJXhcg7d7pY80VMknAUs,0.572,0.318,5,-7.611,1,0.0313,0.524,0,0.0892,0.286,118.057,178983,4
Circumnavigate,To Build a Home,To Build a Home,5JH1Rg7hoAdUIYNlx304hc,0.337,0.0886,9,-18.429,1,0.0375,0.923,0.0744,0.106,0.0503,131.886,355904,4
ARMNHMR,Falling Apart (Acoustic),Falling Apart - Acoustic,5hdxWJkiBKH6STOH7na5zB,0.45,0.325,3,-9.175,1,0.0321,0.873,2.24e-06,0.112,0.225,70.146,176052,3
Ryan Cheung,Edge of Desire,Edge of Desire,5rUP1a9DK0qavCALVdg8lV,0.639,0.198,9,-13.366,1,0.0403,0.949,4.21e-05,0.104,0.38,121.926,331109,3
City Sessions,Slow Dancing In A Burning Room,Slow Dancing In A Burning Room,5gbcELGepcr1pifCJKqu4j,0.586,0.256,1,-11.091,0,0.0309,0.761,0,0.113,0.0826,134.101,162461,3
Kendra Soliz,No One's Gonna Love You,No One's Gonna Love You,0cQmxIOVXnwTDBeT6tCwpV,0.561,0.303,1,-8.806,1,0.0283,0.776,0,0.103,0.233,129.789,240462,4
Thomas Daniel,drivers license,drivers license,66V40iz2mphPbYvuJVj13i,0.439,0.217,2,-13.166,1,0.0413,0.933,0,0.126,0.373,144.413,246345,4
Nelly Hope,Whatcha Say - Acoustic,Whatcha Say - Acoustic,4gq1H2QM58lNLMSeKBfRgW,0.606,0.406,9,-9.999,1,0.0287,0.459,8.49e-06,0.248,0.281,126.028,187619,4
Linus Svenning,HURTFUL,HURTFUL,6TvQfcq2Q0w2t5W2oLfhIa,0.585,0.204,8,-10.076,1,0.0494,0.752,0,0.0974,0.33,103.673,146000,4
Thomas Daniel,Symphony,Symphony - Acoustic,6JAXWoK53LV3hYARf4TzzP,0.359,0.208,7,-10.567,1,0.036,0.943,0,0.0931,0.105,83.155,192389,3
Eloise Freud,I Loved 'Em Every One,I Loved 'Em Every One,6q8eZaHQvrNOacoDp87TXl,0.712,0.324,6,-11.39,0,0.0322,0.838,0.201,0.104,0.431,127.945,237187,4
Roses & Revolutions,Boulevard of Broken Dreams,Boulevard of Broken Dreams,05Pe2omHaIQtDAehonNlMX,0.526,0.128,7,-11.874,1,0.0361,0.913,7.83e-06,0.107,0.365,145.698,190938,4
Alex Goot,I'm With You,I'm With You,3zLsU8qJbhTnd2QUu7pLtJ,0.414,0.303,9,-8.175,1,0.0412,0.879,0,0.0979,0.349,101.52,173335,4
Daniel Robinson,How Long Will I Love You,How Long Will I Love You (Acoustic Version),6nSn3hjEeDP5JLXfxrkDrY,0.724,0.282,5,-10.805,1,0.0354,0.878,9.46e-05,0.109,0.478,120.198,150000,4
Killian Turner,As It Was,As It Was,3lC9XokJGOOH41srH9kg2x,0.363,0.123,5,-17.618,1,0.034,0.948,0.000362,0.111,0.194,139.834,226286,4
Grey Grey,Listen to Your Heart,Listen to Your Heart,56u5Paz3eXZYMdixgL8itQ,0.643,0.193,11,-12.911,1,0.0331,0.928,0,0.11,0.259,115.792,186153,4
Roses & Frey,Bad Liar,Bad Liar,7vg5fesQdq5I7Z7XGdyJd5,0.596,0.195,7,-11.02,1,0.0264,0.926,0,0.139,0.176,82.114,226877,4
Theresa Sokyrka,Time After Time,Time After Time,1gcciAKMxnfM5wpiGmWMWe,0.547,0.0711,0,-14.833,1,0.0332,0.943,1.25e-06,0.183,0.109,104.794,228939,4
Ben Woodward,When the Party's over (Acoustic Piano),When the Party's over (Acoustic Piano),1pG5nd6gmfbMwUfT5shDQe,0.619,0.226,4,-13.453,1,0.0641,0.959,4.42e-05,0.106,0.188,124.96,195945,3
Mother's Daughter,I'm Good (Blue),I'm Good (Blue),0Kb3SXteauSCX2o6FmY6LP,0.692,0.2,9,-9.605,0,0.0316,0.915,1.62e-06,0.132,0.384,85.979,175002,4
Roses & Frey,Wake Me Up,Wake Me Up,2nBrIzKacrNdIxs90FlsT1,0.494,0.214,7,-11.041,1,0.0363,0.92,1.07e-05,0.107,0.35,125.981,196819,3
Jonah Baker,Shallow (Acoustic),Shallow - Acoustic,7i0JN4RCDOZaybjrnFREY4,0.614,0.217,3,-10.057,1,0.0369,0.868,0,0.0922,0.195,101.922,196057,4
Isabella Celander,Stargazing,Stargazing,4sAX65hbNtEC1lceCdGuMt,0.69,0.204,7,-12.427,1,0.0301,0.932,1.73e-06,0.119,0.525,139.587,186335,4
Jessy Hayden,Light On - Acoustic,Light On - Acoustic,0jYvXzBclRZWMh3G4Q1zpU,0.311,0.295,2,-8.68,1,0.0344,0.671,0,0.102,0.34,81.032,209632,4
Rachel Grae,It'll Be Okay,It'll Be Okay,0ctJr4dFdrk0Fv1CWW9cSW,0.488,0.195,3,-9.163,1,0.0325,0.775,0,0.104,0.336,77.849,232906,4
Jonah Baker,The One That Got Away (Acoustic),The One That Got Away - Acoustic,41cvkLPs8vQsE5SV0CFSKL,0.545,0.264,0,-10.921,1,0.042,0.818,0,0.106,0.44,123.768,197931,4
Clementine Duo,Frozen,Frozen,5bGkeM9o4GAtOLeafHhHpm,0.718,0.233,3,-11.607,1,0.035,0.839,1.47e-06,0.106,0.23,104.943,235102,4
TEEKS,I Can't Make You Love Me (Live at the Auckland Town Hall),I Can't Make You Love Me - Live at the Auckland Town Hall,0ZO7pqOzDXJ6GVIWwqIc4n,0.49,0.221,2,-11.651,1,0.0534,0.918,8.5e-06,0.658,0.292,115.669,273727,4
Clementine Duo,Cold Heart,Cold Heart,6iWWtmXJckNTOA57xqiGNo,0.723,0.265,11,-12.937,0,0.0371,0.906,1.07e-05,0.21,0.482,118.023,188742,4
Bailey Rushlow,Purple Rain (Acoustic),Purple Rain - Acoustic,1fjkAaYIIIn7dOxeln1NO1,0.567,0.118,10,-13.085,1,0.0345,0.887,0,0.129,0.595,73.731,154174,4
Callum J Wright,Somebody Else (Acoustic),Somebody Else - Acoustic,4kQXMVjoZ9yMibLZq5Aqi5,0.794,0.38,10,-8.769,0,0.0477,0.762,0,0.262,0.617,114.99,138495,4
Loi,Blinding Lights,Blinding Lights,0cQJGoRki2avKVodXEmr0d,0.486,0.18,10,-10.906,0,0.0565,0.917,0,0.128,0.54,73.127,147368,3
Linn Brikell,All Falls Down,All Falls Down,1hnSI4JaTQybQXqvzQX3nl,0.699,0.189,1,-11.421,1,0.0469,0.944,0,0.103,0.328,129.794,209669,4
June Road,My Favourite Game,My Favourite Game,7HyauB1PHSa7F1lBNkELIs,0.636,0.293,1,-13.486,0,0.0311,0.879,6.95e-06,0.116,0.55,119.925,189106,4
Sara Farell,Teenage Dream,Teenage Dream,68ngc4vLwImhAeWHmXKcEI,0.53,0.0776,6,-15.478,1,0.0462,0.937,0,0.122,0.282,179.911,197195,1
Heather Nova,Other Shores,Fireproof,5hn81KcRWFyrwi38PJMG8u,0.687,0.203,0,-11.985,0,0.0345,0.936,3.61e-05,0.109,0.151,120.264,182433,4
Reason,Anyone,Anyone,3SbLU4hAQHmdvHFDMVhAf9,0.675,0.15,2,-14.912,1,0.0314,0.714,0,0.115,0.413,109.882,188864,4
Jada Facer,Summertime Sadness (Acoustic),Summertime Sadness (Acoustic),3e0Ww4XhDI3rHksRFcqf7U,0.617,0.188,3,-14.1,0,0.0563,0.805,0,0.368,0.281,115.822,159413,4
OSIS,Wonderwall,Wonderwall,3YFNoWIYjbSIsvUBWrCgqq,0.44,0.371,8,-9.125,0,0.0352,0.82,0.00118,0.248,0.316,87.883,144359,4
Savella,The Best Covers Ever,Kill Em With Kindness - Acoustic,2zdWyXkUu9CowCZ4rVnBg2,0.621,0.145,11,-14.406,1,0.0327,0.729,0,0.12,0.185,94.718,212000,4
Highland Peak,Graveyard,Graveyard - Acoustic,7c0YUDcJreOv1OoBGf1KdH,0.425,0.249,4,-12.219,0,0.0355,0.87,0.00175,0.124,0.235,123.632,254297,4
Louie Jacobs,Ooh La La (Live From My Bedroom),Ooh La La - Live From My Bedroom),7t5ZovheDpNgWCQaqYO0rY,0.446,0.143,2,-17.078,1,0.0594,0.846,0.125,0.093,0.278,119.249,204004,4
John T,Heartbeats,Heartbeats,3YhqdNOlcWkgHvgvToS1Js,0.454,0.124,8,-21.206,1,0.0316,0.873,0.0015,0.113,0.394,87.507,162784,4
Lilith Merlot,Speak Your Heart,Speak Your Heart,3d4k38C0dO6BWOkPn62eey,0.453,0.206,1,-10.764,0,0.0305,0.925,6.42e-05,0.0937,0.0565,104.96,227062,3
Laura Zocca,Sunshine on a Cloudy Day,That's Life,0cApK7WFfFoBLYdgEAXoOM,0.521,0.0841,8,-12.682,1,0.0398,0.923,1.22e-05,0.0993,0.219,139.858,212560,4
Lola Rhodes,Be Alright,Be Alright,4r4aTOJc7K3iUIU3MEPw6I,0.664,0.177,1,-13.54,1,0.0335,0.856,0,0.136,0.29,105.008,180466,4
Maribel Sur,Heart Shaped Box,Heart Shaped Box,0AtMmmdaPQyopfb73EOoK8,0.419,0.133,8,-12.705,1,0.0435,0.915,0,0.105,0.147,184.598,192917,4
Reason,Attention,Attention,3vwj1C07osOH8vqi6qmOoY,0.424,0.267,3,-8.062,0,0.0462,0.892,0,0.135,0.225,79.782,244946,4
