artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
David Kushner,Daylight,Daylight,1odExI7RdWc4BT515LTAwj,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,212954,4
Mimi Webb,Amelia,Last Train To London,7djOJmSvxXtq0Q49iC9qsX,0.554,0.326,9,-7.085,1,0.0299,0.697,0.0,0.0876,0.278,71.267,227925,4
Lewis Capaldi,Broken By Desire To Be Heavenly Sent,Wish You The Best,3gdPwk2wyOXNRnTA1KXnEr,0.676,0.461,3,-3.59,1,0.0304,0.555,0.0,0.0951,0.466,107.95,210880,4
Becky Hill,Remember (Acoustic),Remember - Acoustic,5aXfGM7WVcqyAvqnL7k0y3,0.62,0.379,3,-8.675,1,0.0412,0.797,0.0,0.195,0.509,118.899,178627,4
Dean Lewis,How Do I Say Goodbye,How Do I Say Goodbye,5hnGrTBaEsdukpDF6aZg8a,0.4,0.641,8,-6.303,1,0.0674,0.214,0.0,0.0656,0.393,81.552,163603,4
Seafret,Tell Me It's Real (Expanded Edition),Atlantis,1Fid2jjqsHViMX6xNH70hE,0.4,0.479,8,-7.989,0,0.0308,0.0529,2.14e-06,0.115,0.213,166.159,229173,4
Freya Ridings,Face in the Crowd,Face in the Crowd,0V9QY6NnXtAMwjltgMP0pl,0.445,0.232,1,-9.145,1,0.0294,0.886,3.31e-06,0.128,0.246,72.005,204503,4
Cian Ducrot,Part Of Me,Part Of Me,22UYp7aAy1XmIYZ1GsnJuB,0.637,0.513,1,-6.797,1,0.0367,0.518,0.0,0.124,0.234,141.907,202193,4
Jessie Murph,drowning,How Could You,7wB9sL81rFRGhRt6msZ9CV,0.573,0.17,11,-10.576,1,0.0555,0.834,3.08e-06,0.108,0.28,146.749,187813,3
James Arthur,A Year Ago,A Year Ago,3DBJE1Zndql25OGUQSv7aD,0.548,0.474,8,-8.743,1,0.0446,0.587,0.0,0.121,0.261,119.986,170830,4
Benson Boone,In The Stars,In The Stars,1ei3hzQmrgealgRKFxIcWn,0.362,0.54,10,-6.031,1,0.0528,0.338,0.0,0.139,0.3,78.007,216410,3
Cat Burns,go,go,4VtRHZ4tBDHaWltVAytlLY,0.663,0.251,6,-9.87,0,0.0435,0.88,0.0,0.0932,0.528,90.272,215000,4
Tate McRae,all the things i never said,that way,7l97ElWmIdVHWUaOeeU5ZC,0.453,0.383,0,-11.015,1,0.163,0.728,0.0,0.387,0.333,105.029,175027,4
Lewis Capaldi,Before You Go (Piano Version),Before You Go - Piano Version,7slfeXbuzr9RYXX6XS6Npi,0.467,0.359,3,-6.892,1,0.0815,0.843,0.0,0.0913,0.21,173.318,218769,3
Maddie Zahm,Fat Funny Friend (sadder),Fat Funny Friend (sadder),3J2k478GV4E9GbFzN7ndgv,0.547,0.222,0,-8.709,1,0.0458,0.962,9.31e-05,0.101,0.528,106.28,202320,4
Ed Sheeran,- (Deluxe),Life Goes On,74eJR4gwG1ZmG4BFkbrOlA,0.629,0.312,1,-7.609,1,0.0318,0.813,0.0,0.169,0.456,77.044,210260,4
Conan Gray,Kid Krow,Heather,4xqrdfXkTW4T0RauPLv3WA,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,198040,3
Sekou,Better Man,Better Man,7qqOrc0Uvpvl5NvoAPRGLE,0.582,0.231,0,-9.136,1,0.0358,0.933,4.16e-06,0.132,0.191,130.122,192131,4
Gracie Abrams,minor,"I miss you, I’m sorry",4nyF5lmSziBAt7ESAUjpbx,0.445,0.455,7,-6.405,1,0.0575,0.731,1.47e-06,0.124,0.151,109.885,167538,5
Ruth B.,Safe Haven,Dandelions,2eAvDnpXP5W0cVtiI0PUxV,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959,233720,3
Reneé Rapp,Everything To Everyone,In The Kitchen,2VFetGqLYq0Pc8ZtRYCaeL,0.364,0.294,0,-6.578,0,0.0504,0.833,0.0,0.264,0.125,79.477,227749,3
Birdy,Birdy,Skinny Love,4RL77hMWUq35NYnPLXBpih,0.379,0.29,4,-8.485,1,0.051,0.952,0.00106,0.118,0.169,166.467,201080,4
Tom Rosenthal,Z-Sides,Lights Are On,4IhTXiZLKATmwhMZIb1GQN,0.44,0.04,3,-16.887,1,0.0322,0.981,0.465,0.111,0.249,135.965,193749,4
Luz,we'll be fine,we'll be fine,7KKamdf8oLVz1eFcNRjvnq,0.563,0.382,10,-11.138,1,0.0404,0.748,0.0,0.0714,0.197,120.802,262960,4
James Arthur,YOU,Car's Outside,0otRX6Z89qKkHkQ9OqJpKt,0.338,0.562,9,-7.181,1,0.029,0.039,0.0,0.107,0.259,149.907,248373,4
Phoebe Bridgers,Stranger in the Alps (Deluxe Edition),Scott Street,21uFPefbgeR3QLVJWATlrr,0.508,0.417,10,-9.632,1,0.0296,0.77,0.0928,0.0887,0.483,134.944,305001,4
Dylan Conrique,birthday cake,birthday cake,7dDrR6vMK1JAwZZ5MIWgme,0.436,0.255,3,-8.623,1,0.0364,0.955,3.28e-05,0.106,0.15,113.265,205280,4
Tom Odell,Long Way Down (Deluxe),Another Love,3JvKfv6T31zO0ini8iNItO,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,244360,4
P!nk,TRUSTFALL,When I Get There,24dotUzOINUEH3iTUlhDXX,0.562,0.403,1,-5.441,1,0.0361,0.78,0.0,0.094,0.548,82.518,200173,4
Chance Peña,In My Room,In My Room,7CiDwKE62N6ey3LyG6s7xc,0.408,0.338,4,-13.626,1,0.0431,0.521,0.000639,0.0732,0.1,133.943,177609,3
Jess Benko,"Do You Love Me, or Are You Just Lonely?",A Soulmate Who Wasn’t Meant to Be,0gOz9JUXsaKVzLTSmFDtdo,0.571,0.0274,9,-20.274,0,0.0649,0.948,6.43e-06,0.322,0.087,124.209,316556,3
Cian Ducrot,I'll Be Waiting (Sad At Christmas),I'll Be Waiting,0JIhRhZPF5j5dx0FGqTWxy,0.509,0.619,1,-4.102,1,0.0391,0.355,0.0,0.0739,0.544,155.955,172547,4
Adele,Easy On Me,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,4
Mimi Webb,Goodbye,Goodbye,5b6enCVP67LsqqrfTs6rxr,0.5,0.373,0,-6.191,1,0.0335,0.602,0.0,0.137,0.158,118.943,184167,4
Lewis Capaldi,Spotify Singles,drivers license - Spotify Singles,10wk4XQdba4QpHgFb28Ktk,0.543,0.23,4,-12.532,1,0.0417,0.845,0.0,0.11,0.307,127.357,262544,4
Benson Boone,PULSE,Little Runaway,7F9TZ2RT8rdVyzLFmfagiR,0.546,0.442,0,-6.541,1,0.0286,0.24,0.0,0.122,0.323,89.019,195277,4
Lauren Spencer Smith,Best Friend Breakup,Best Friend Breakup,5rKMN0bKdqcGWo1iLvv30Y,0.467,0.573,5,-5.009,0,0.23,0.203,1.09e-06,0.102,0.56,88.675,141061,3
Cat Burns,emotionally unavailable,we're not kids anymore,43ZTfozcXRTukqENA3TXqe,0.816,0.213,6,-12.952,0,0.0529,0.912,4.02e-06,0.0916,0.323,121.916,182958,4
Sabrina Carpenter,emails i can't send,emails i can’t send,2qLyo5FeWquE7HBUbcVnEy,0.515,0.387,7,-10.614,1,0.192,0.757,0.0,0.622,0.408,86.313,104408,3
Zeph,scared of everything,could you love me while i hate myself,7uo2L5FAja3pWIBa3HJVeC,0.68,0.406,9,-11.313,1,0.0414,0.782,0.00019,0.11,0.551,119.901,60333,4
