artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Mac Ayres,Drive Slow,Easy,58dSdjfEYNSxte1aNVxuNf,0.722,0.282,5,-7.484,1,0.106,0.00557,0.147,0.217,91.367,314358,4
Daniel Caesar,Freudian,Best Part (feat. H.E.R.),1RMJOxR6GRPsBHL8qeC2ux,0.524,0.364,7,-10.209,1,0.0367,0.0,0.1,0.436,75.24,209831,4
Bruno Major,A Song For Every Moon,Easily,2k9N4caeCIJLOWwWwssrEM,0.772,0.256,7,-8.545,0,0.0481,0.00612,0.144,0.357,118.902,210240,3
keshi,skeletons,skeletons,2BuJrxYKhYky20dQqTlobO,0.719,0.265,2,-12.782,1,0.0754,0.0865,0.108,0.273,80.021,152480,4
Kendrick Lamar,DAMN.,LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As,0.8,0.585,10,-7.343,1,0.0924,0.0,0.153,0.779,126.058,213400,4
Jeremy Passion,For More Than a Feeling,Lemonade - Ukulele Version,5nJzWhlrBfn3cfDLlaAgAO,0.546,0.221,2,-8.915,1,0.063,0.0,0.0994,0.593,128.144,181505,4
Joji,BALLADS 1,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,0.515,0.479,3,-7.458,1,0.0261,0.00598,0.191,0.284,88.964,209274,4
Rex Orange County,Sunflower,Sunflower,4EpZ4eYuZOwPSSwyqpdHnJ,0.384,0.765,6,-4.463,1,0.0579,0.00352,0.522,0.567,129.903,252231,4
"Tyler, The Creator",Flower Boy,See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,0.558,0.559,6,-9.222,1,0.0959,7.49e-06,0.109,0.62,78.558,180387,4
SZA,The Weekend (Funk Wav Remix),The Weekend - Funk Wav Remix,0P6AWOA4LG1XOctzaVu5tt,0.775,0.573,11,-4.933,1,0.0585,0.0,0.126,0.667,101.925,171806,4
BROCKHAMPTON,GINGER,SUGAR,6U0FIYXCQ3TGrk4tFpLrEA,0.453,0.538,1,-8.212,1,0.0638,0.0,0.19,0.516,122.973,204533,4
Frank Ocean,Chanel,Chanel,6Nle9hKrkL1wQpwNfEkxjh,0.776,0.503,0,-5.732,0,0.237,0.0,0.112,0.473,110.134,210285,4
RINI,Emerald,Emerald,5Ft4VNqy14Lv8xR8RRNCz5,0.562,0.212,5,-13.916,0,0.0364,0.000257,0.0887,0.349,171.953,212093,4
FKJ,French Kiwi Juice,Vibin' Out,6SEolIp22t0DzeBfCBo3hr,0.41,0.169,3,-11.422,1,0.0485,0.00327,0.117,0.208,89.494,311837,4
Mac Ayres,Drive Slow,Slow Down,3XstzgzP0rp3bzElEnRVHv,0.729,0.338,5,-12.816,1,0.116,0.000295,0.118,0.184,119.345,234595,4
Mac Ayres,Drive Slow,Calvin's Joint,33VQJLL7QWS0LUuF7r39Rq,0.676,0.656,8,-7.653,1,0.211,0.0119,0.118,0.283,94.383,226299,4
Daniel Caesar,Get You - Single,Japanese Denim,1boXOL0ua7N2iCOUVI1p9F,0.707,0.238,3,-8.818,1,0.0379,2.42e-06,0.0842,0.345,124.156,270847,3
Daniel Caesar,Get You - Single,Get You (feat. Kali Uchis),6N3qHjcwly8ZuhE4bPYJAX,0.659,0.295,11,-8.528,0,0.0322,6.95e-05,0.0795,0.36,74.037,277297,4
Daniel Caesar,Who Hurt You?,Who Hurt You?,23c9gmiiv7RCu7twft0Mym,0.649,0.493,11,-7.645,0,0.11,0.000167,0.0667,0.277,104.542,231964,4
Daniel Caesar,Freudian,Blessed,0KyzXQhY2yzcb1FYCHkZc2,0.448,0.263,11,-11.98,1,0.0373,1.91e-06,0.106,0.451,109.889,241371,1
Daniel Caesar,Pilgrim's Paradise,Streetcar,7Cu2COdH93MnuireuKNiS3,0.41,0.298,3,-11.796,1,0.0473,0.0,0.158,0.142,109.651,246972,3
Daniel Caesar,Freudian,Loose,59acp1OhcvxwVBwQJBYKuX,0.198,0.162,1,-15.815,1,0.0343,0.00896,0.135,0.0527,70.453,185523,1
Daniel Caesar,CASE STUDY 01,CYANIDE,3uouaAVXpQR3X8RYkJyitQ,0.589,0.652,10,-7.498,1,0.373,0.00055,0.125,0.486,158.49,194960,4
Daniel Caesar,CASE STUDY 01,LOVE AGAIN,2fhePAlCSsJplwkjqMYpVm,0.553,0.441,5,-6.411,1,0.0918,2.57e-06,0.107,0.525,76.988,214278,4
