artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Durand Jones & The Indications,Private Space,Ride or Die,6KNV6L3b7beomEUnzWgw0X,0.607,0.629,2,-10.509,1,0.0406,0.0806,0.0844,0.688,101.974,254722,4
Pharrell Williams,Just A Cloud Away,Just A Cloud Away,0DGTcMqvVR7fmBXgiG6jz4,0.89,0.46,2,-8.155,1,0.0359,0.0,0.11,0.677,112.555,176078,3
The Main Squeeze,Sunday Morning,Sunday Morning,5N7s7nhywtONPI5FJhabAP,0.49,0.569,1,-8.401,1,0.246,0.0,0.365,0.43,147.369,229600,3
Jalen Ngonda,Just Like You Used To,Just Like You Used To,4zi12vnfemTW9sYo3XoJ2y,0.386,0.569,4,-6.861,1,0.0344,0.00044,0.304,0.551,174.281,188155,4
Joel Culpepper,Black Boy,Black Boy,01H6EVBkDRIIICVpciXOHC,0.618,0.518,6,-5.122,1,0.156,0.000286,0.131,0.466,169.966,243625,4
Swamp Dogg,Cheating in the Daylight,Cheating in the Daylight,70wmWSlvCFeoYHSgoGsbpk,0.496,0.614,0,-9.82,1,0.0582,0.00287,0.0968,0.857,91.768,327680,4
Durand Jones & The Indications,American Love Call,Don't You Know,0jecTSpHjOy5CyqEdfod5c,0.676,0.657,4,-4.185,0,0.0333,4.95e-05,0.107,0.727,96.034,200687,4
Leon Bridges,Coming Home (Deluxe),Coming Home,65GbQI9VDTs7vo6MJL2iJA,0.424,0.465,6,-6.595,1,0.0297,5.52e-05,0.154,0.462,112.418,206387,3
Khruangbin,Texas Moon,B-Side,2DccHqTquzubziHAPZRdct,0.732,0.734,7,-10.574,1,0.0541,0.172,0.327,0.687,104.764,274391,4
Carl Douglas,Love Peace and Happiness,What's Good for the Goose,11SrvCEGNPmdhqVFnpruZf,0.825,0.565,2,-8.263,1,0.159,0.00071,0.0659,0.821,92.469,232229,4
Lady Wray,Piece of Me,Come On In,6HwVmEL610Sd9QtZ96Ysmr,0.61,0.564,5,-6.086,0,0.0258,0.00109,0.155,0.551,80.734,218409,4
Sam Cooke,A Cupid's Valentine,You Send Me,24lvdbt9pS7DFEjhEWSl49,0.558,0.311,4,-9.582,0,0.0288,0.0,0.118,0.415,95.978,163480,4
The Miracles,The Fabulous Miracles,You've Really Got A Hold On Me,7wLRmjiDYI6flIVzboUqSV,0.68,0.448,0,-8.398,1,0.0302,0.0,0.227,0.567,118.461,177707,3
Marvin Brooks,I'll Be Fine,Shake What Your Mama,7pgO6bfDy6RbM87aTzzyoK,0.852,0.704,2,-8.529,1,0.172,0.0,0.305,0.777,120.025,167667,4
Swamp Dogg,Sorry You Couldn't Make It,"Good, Better, Best",5xJ2iRDQ7jKJl2DLsYJPYD,0.84,0.405,10,-11.72,0,0.161,0.0236,0.111,0.823,90.038,170040,4
Lady Wray,Queen Alone,In Love (Don't Mess Things Up),4SgWwPLqJ08Y1HuoIpFJX4,0.758,0.364,9,-7.491,0,0.0548,5.96e-06,0.138,0.533,95.619,137320,4
The Dip,The Dip Delivers,Sure Don't Miss You,0lEWIegMNMQ7W1ooB1zWT2,0.667,0.586,4,-7.985,0,0.0283,2.96e-06,0.16,0.727,102.988,174520,4
Kool & The Gang,Perfect Union,Hold On,3GrTxDPEBPyofDy06rO9mj,0.793,0.601,4,-8.179,1,0.0317,0.00351,0.105,0.703,103.003,215404,4
