artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Coi Leray,Players,Players,6UN73IYd0hZxLi8wFPMQij,0.954,0.516,6,-5.817,1,0.16,7.54e-06,0.0504,0.624,105.001,139560,4
Mac Miller,K.I.D.S. (Deluxe),The Spins,7qfZ0ViYLmV3MKeZ0Z7htT,0.794,0.766,9,-3.894,0,0.0377,0,0.0785,0.55,127.007,195873,4
SZA,Good Days,Good Days,3YJJjQPAbDT7mGpX3WtQ9A,0.436,0.655,1,-8.37,0,0.0583,8.1e-06,0.688,0.412,121.002,279204,4
Gorillaz,Cracker Island,Oil (feat. Stevie Nicks),36MGfjOTOwx1udRX5dDnoJ,0.631,0.942,5,-3.713,1,0.0661,6.13e-05,0.183,0.354,127.025,230141,4
Miguel,All I Want Is You,Sure Thing,0JXXNGljqupsJaZsgSbMZV,0.684,0.607,11,-8.127,0,0.1,0.000307,0.191,0.498,81.001,195373,4
Calvin Harris,Funk Wav Bounces Vol.1,Slide (feat. Frank Ocean & Migos),7tr2za8SQg2CI8EDgrdtNl,0.736,0.795,1,-3.299,0,0.0545,1.21e-06,0.254,0.511,104.066,230813,4
The Blessed Madonna,Shades Of Love (feat. The Joy),Shades Of Love (feat. The Joy),28pQcTJag5xFasUq2fw9PK,0.65,0.801,8,-5.624,0,0.0764,0.00239,0.0942,0.605,125.008,307918,4
Rema,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),0WtM2NBVQNNJLh6scP13H8,0.801,0.806,11,-5.206,1,0.0381,0.000669,0.114,0.802,106.999,239318,4
KAROL G,MAÑANA SERÁ BONITO,MIENTRAS ME CURO DEL CORA,6otePxalBK8AVa20xhZYVQ,0.523,0.477,0,-6.786,1,0.392,0,0.146,0.57,79.921,164387,4
Miley Cyrus,Flowers,Flowers,0yLdNVWF3Srea0uzk55zFn,0.707,0.681,0,-4.325,1,0.0668,5.15e-06,0.0322,0.646,117.999,200455,4
The Orion Experience,Hopelessly Devoted to You,Hopelessly Devoted to You,7GTmhgsPfmpZHp0e78WYsK,0.765,0.784,11,-6.482,0,0.0328,3.74e-06,0.055,0.747,105.992,147416,4
Beyoncé,RENAISSANCE,CUFF IT,1xzi1Jcr7mEi9K2RfzLOqS,0.78,0.689,7,-5.668,1,0.141,9.69e-06,0.0698,0.642,115.042,225389,4
Sam Smith,Gloria,I'm Not Here To Make Friends,3i0FkJYlU4MFfYkjFHXXAM,0.698,0.895,0,-4.439,1,0.0628,1.45e-05,0.409,0.838,114.914,229605,4
Nicky Youre,Eyes On You,Eyes On You,6qItx3M2IZbXBKRnptbnHM,0.729,0.786,10,-4.357,1,0.0389,0,0.265,0.729,131.906,177372,4
Niall Horan,Heaven,Heaven,1yHVHoz6Ny29gbbWJYVnFt,0.571,0.761,5,-3.485,1,0.0261,0,0.331,0.681,91.991,186043,4
Jason Mraz,I Feel Like Dancing,I Feel Like Dancing,4xYlpJPENfM4DT0rUYFqSP,0.812,0.706,4,-6.054,0,0.0709,0,0.107,0.621,112.002,218702,4
Rex Orange County,AMAZING,AMAZING,6FtIK0IkmG33lKbc1pyAlZ,0.719,0.461,8,-8.191,1,0.0454,0,0.0875,0.548,123.915,209200,4
Gorillaz,Cracker Island,Tormenta (feat. Bad Bunny),38UYeBLfvpnDSG9GznZdnL,0.637,0.768,0,-6.468,1,0.056,0.00192,0.378,0.297,94.982,193464,4
EZ Band,Make it Norteño Vol. 1,Hey There Delilah,6DcuRMCIu66fLSGiS0MgZ8,0.7,0.762,2,-5.891,1,0.0335,1.43e-05,0.103,0.698,103.96,232533,4
Lizzo,Special (feat. SZA),Special (feat. SZA),0rc1HCVoReqzzXF9jssqZk,0.464,0.724,7,-5.019,1,0.0705,0,0.679,0.303,82.526,174749,4
Mae Stephens,If We Ever Broke Up,If We Ever Broke Up,6maTPqynTmrkWIralgGaoP,0.898,0.732,7,-3.982,1,0.0427,1.29e-05,0.0908,0.96,115.955,142759,4
Stephen Sanchez,Until I Found You (Em Beihold Version),Until I Found You (with Em Beihold) - Em Beihold Version,1Y3LN4zO1Edc2EluIoSPJN,0.551,0.55,10,-5.339,1,0.0286,0,0.202,0.342,101.19,176440,3
Sushisingz,except for U,except for U,74hoVvEPlkwtz1ExXEFri9,0.581,0.734,7,-7.842,1,0.13,0.115,0.156,0.491,170.18,213353,4
