artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
The Daughters Of Eve,Hey Lover / Stand by Me,Hey Lover,0bhwnn2xqnBUcMZDcXNuII,0.48,0.482,7,-11.45,0,0.0362,0.000289,0.345,0.684,128.16,144000,4
Grouplove,Never Trust a Happy Song,Tongue Tied,0GO8y8jQk1PkHzS31d699N,0.56,0.936,3,-5.835,1,0.0439,0.0,0.161,0.371,112.96,218013,4
Tears For Fears,Songs From The Big Chair (Super Deluxe Edition),Everybody Wants To Rule The World,4RvWPyQ5RL0ao9LPZeSouE,0.645,0.795,7,-12.095,1,0.0527,0.00389,0.104,0.535,112.067,251489,4
Edison Lighthouse,Love Grows (Where My Rosemary Goes) & Other Gems,Love Grows (Where My Rosemary Goes),5Ts1DYOuouQLgzTaisxWYh,0.568,0.824,9,-4.613,1,0.0299,0.0,0.0855,0.753,108.625,174760,4
Jack Johnson,Jack Johnson And Friends: Sing-A-Longs And Lullabies For The Film Curious George,Upside Down,6shRGWCtBUOPFLFTTqXZIC,0.787,0.655,6,-8.339,0,0.0431,0.000171,0.138,0.65,102.485,208653,4
Fleetwood Mac,Rumours (Super Deluxe),Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,0.828,0.492,0,-9.744,1,0.0276,0.00428,0.128,0.789,120.151,257800,4
Corinne Bailey Rae,Corinne Bailey Rae,Put Your Records On,2nGFzvICaeEWjIrBrL2RAx,0.739,0.511,9,-7.844,1,0.0362,1.34e-06,0.133,0.542,96.038,215360,4
Daryl Hall & John Oates,The Essential Daryl Hall & John Oates,Rich Girl,5E3P9e1hvjyIOlFyqNB5eD,0.598,0.643,5,-6.303,1,0.134,0.0,0.0435,0.823,167.971,144333,4
Elton John,Goodbye Yellow Brick Road (Remastered),Bennie And The Jets - Remastered 2014,5Wj1rJnCLpMHdLaxsFtJLs,0.665,0.673,0,-7.95,1,0.0493,7.62e-06,0.497,0.779,132.642,322549,4
Modern English,After the Snow,I Melt with You,6J2rMSRhgb4HuX6dWgM3nJ,0.541,0.81,0,-11.745,1,0.0367,0.00158,0.0681,0.647,155.582,251573,4
Kate Bush,Hounds of Love (2018 Remaster),Running Up That Hill (A Deal With God) - 2018 Remaster,29d0nY7TzCoi22XBqDQkiP,0.625,0.533,10,-11.903,0,0.0596,0.00266,0.0546,0.139,108.296,300840,4
Stephen Bishop,Careless,Save It For A Rainy Day,5AHjRKFCVUaRClF2Oxx8Ld,0.625,0.536,8,-8.962,1,0.0354,8.03e-05,0.119,0.729,129.178,192973,4
Peter Bjorn and John,Writer's Block,Young Folks,4dyx5SzxPPaD8xQIid5Wjj,0.699,0.812,0,-6.005,1,0.0377,0.000763,0.105,0.662,138.185,276693,4
Jack Johnson,In Between Dreams,Banana Pancakes,451GvHwY99NKV4zdKPRWmv,0.816,0.375,7,-8.053,1,0.0996,8.66e-06,0.0933,0.615,114.303,191907,4
Fleetwood Mac,Tango In the Night (Deluxe Edition),Everywhere - 2017 Remaster,254bXAqt3zP6P50BdQvEsq,0.73,0.487,4,-10.991,1,0.0303,0.01,0.0852,0.731,114.965,226653,4
Brenton Wood,The Very Best Of,The Oogum Boogum Song,7fp41IDi1dqARoX0Nuvz5O,0.885,0.64,7,-5.305,1,0.0431,0.0,0.247,0.851,112.658,153413,4
Al Green,Let's Stay Together,Let's Stay Together,63xdwScd1Ai1GigAwQxE8y,0.756,0.401,7,-10.702,0,0.0526,0.011,0.0541,0.514,101.954,199396,4
The Temptations,The Temptations Sing Smokey,My Girl,745H5CctFr12Mo7cqa1BMH,0.572,0.418,0,-10.738,1,0.0349,0.0,0.0961,0.694,104.566,165000,4
Lenny Kravitz,Mama Said,It Ain't Over 'Til It's Over,6VnpKLtfNH4Dk09YSGPSyR,0.679,0.568,6,-10.74,1,0.0423,0.00928,0.322,0.93,159.69,242640,4
Engelbert Humperdinck,Live In Concert / All of Me,A Man Without Love,622sVNQCspoVUqFWzOYYcj,0.386,0.473,2,-12.416,1,0.0345,0.0,0.271,0.498,110.322,205640,4
The Jackson 5,Anthology: Jackson 5,I Want You Back,3tSi6iFO9yLGIYIqMEgjC9,0.67,0.584,8,-8.325,1,0.034,0.00614,0.178,0.944,98.185,179227,4
Bill Withers,Lean on Me: The Best of Bill Withers,Lovely Day,0ACACkoHUwgfgY5CxVIL4N,0.694,0.565,9,-12.583,1,0.0345,0.000172,0.0806,0.692,97.938,255067,4
Dexys Midnight Runners,Come On Eileen / Dubious,Come On Eileen - Single Edit,6nWcEzyxDozQcmxMoNJtYx,0.41,0.874,0,-4.286,1,0.0907,0.0,0.0843,0.824,107.08,205933,4
The La's,The La's,There She Goes,0SMkzFGJOBFDI9KfYD55L0,0.536,0.854,7,-6.907,1,0.0298,0.743,0.156,0.905,122.733,162160,4
The Killers,Hot Fuss,Mr. Brightside,003vvx7Niy0yvhvHt4a68B,0.352,0.911,1,-5.23,1,0.0747,0.0,0.0995,0.236,148.033,222973,4
Outkast,Speakerboxxx/The Love Below,Hey Ya!,2PpruBYCo4H7WOBJ7Q2EwM,0.727,0.974,4,-2.261,0,0.0664,0.000532,0.174,0.965,79.526,235213,4
ABBA,Arrival,Dancing Queen,0GjEhVFGZW8afUYGChu3Rr,0.543,0.87,9,-6.514,1,0.0428,0.000939,0.792,0.754,100.804,230400,4
Fleetwood Mac,Fleetwood Mac,Landslide,5ihS6UUlyQAfmp48eSkxuQ,0.414,0.161,7,-22.32,0,0.0318,0.000223,0.117,0.423,159.375,199493,4
The Temper Trap,Conditions,Sweet Disposition,5RoIXwyTCdyUjpMMkk4uPd,0.531,0.821,2,-6.812,1,0.0439,0.171,0.124,0.34,129.139,230800,4
Junior Senior,d-d-don't don't stop the beat (Explicit Content U.S. Version),Move Your Feet,4jacsL77ZYnpInmTtUBaJW,0.755,0.895,9,-2.619,1,0.0883,0.0737,0.222,0.844,118.871,181907,4
