artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Arctic Monkeys,Favourite Worst Nightmare (Standard Version),Only Ones Who Know,7ABWRukVQcXrIrDKDx5Gek,0.257,0.409,7,-10.828,0,0.0363,0.00293,0.109,0.0794,145.759,181480,5
benny blanco,FRIENDS KEEP SECRETS 2,Care (with Omar Apollo),296wnQ0NPmj0hwpdhICSRy,0.618,0.215,2,-12.8,1,0.04,0.00962,0.109,0.214,90.004,290466,4
Cigarettes After Sex,Pistol,Pistol,5g5XvfePSypMK6eiVL6BI7,0.653,0.442,7,-11.727,1,0.0337,0.699,0.107,0.363,109.971,234174,4
Montell Fish,JAMIE,Darling,6UpgMTjhFiKV3Sk0emuqDz,0.315,0.104,9,-19.129,1,0.0402,0.654,0.0973,0.038,120.723,302000,3
Deyaz,I'll Scream (All the Words),I'll Scream (All the Words),5XennSN9tgLRZTdvhGTrBp,0.475,0.347,1,-7.84,1,0.0332,0.0,0.107,0.165,174.268,193458,4
Lizzy McAlpine,five seconds flat,ceilings,2L9N0zZnd37dwF0clgxMGI,0.516,0.322,9,-11.762,1,0.0292,0.00194,0.215,0.261,148.005,182888,3
bbno$,still,still,6EoI0gxW5egUN3SFxgQb7H,0.372,0.27,6,-12.041,0,0.0385,0.273,0.114,0.0852,183.792,180846,3
Joji,SMITHEREENS,Die For You,26hOm7dTtBi0TdpDGl141t,0.472,0.518,8,-7.379,1,0.051,0.127,0.289,0.154,147.805,211667,4
SZA,SOS,Nobody Gets Me,5Y35SjAfXjjG0sFQ3KOxmm,0.358,0.284,7,-8.285,1,0.0285,0.0,0.183,0.276,99.796,180853,3
Post Malone,Stoney (Deluxe),Feeling Whitney,35r28RDot7nPE7y9K9H7l0,0.412,0.227,0,-12.696,1,0.0359,4.69e-06,0.282,0.226,80.111,257267,4
Billie Eilish,Guitar Songs,TV,3GYlZ7tbxLOxe6ewMNVTkw,0.412,0.236,4,-15.159,0,0.0379,0.00653,0.147,0.119,140.214,281381,4
Terry Presume,None of This Alone,None of This Alone,3oC6XhD8it51GroGHUh3Ud,0.717,0.605,9,-10.387,1,0.0496,0.00135,0.103,0.193,100.995,172027,4
Cigarettes After Sex,Cigarettes After Sex,Sunsetz,69UqtTHfUKAJweQwEStRzC,0.412,0.477,9,-9.381,0,0.029,0.798,0.0975,0.141,75.302,214680,4
Chance Peña,In My Room,In My Room,7CiDwKE62N6ey3LyG6s7xc,0.408,0.338,4,-13.626,1,0.0431,0.000639,0.0732,0.1,133.943,177609,3
Sofia Mills,Coffee Breath,Coffee Breath,28TkNtKHx6UnOZuoyv3Jzv,0.866,0.211,11,-12.676,0,0.0404,0.0,0.0987,0.198,101.295,163902,4
Brandon,Coming Clean,Baby,38jJdP6hG3x63SKrJZutMW,0.641,0.242,10,-10.066,1,0.0757,0.0,0.394,0.409,75.99,111711,1
Joji,Glimpse of Us,Glimpse of Us,6xGruZOHLs39ZbVccQTuPZ,0.44,0.317,8,-9.258,1,0.0531,4.78e-06,0.141,0.268,169.914,233456,3
Cavetown,Man’s Best Friend,Idea of Her,167NK7xPIRNKnSmUE9dBrQ,0.518,0.423,9,-8.818,1,0.0284,0.0,0.0765,0.323,129.905,168960,3
Cigarettes After Sex,Cigarettes After Sex,Apocalypse,3AVrVz5rK8Hrqo9YGiVGN5,0.369,0.467,5,-9.018,1,0.0274,0.46,0.109,0.174,94.473,290147,4
d4vd,Placebo Effect,Placebo Effect,6m3T4RHAMaSIKUDsxko43y,0.475,0.243,4,-11.209,1,0.0262,0.0,0.115,0.108,61.317,191494,4
Billie Eilish,Guitar Songs,The 30th,5SHpuW2qjkQtFRpE6P9Nks,0.387,0.135,7,-14.398,1,0.051,0.0,0.0948,0.21,82.987,216448,4
Jess Benko,"Do You Love Me, or Are You Just Lonely?",A Soulmate Who Wasn’t Meant to Be,0gOz9JUXsaKVzLTSmFDtdo,0.571,0.0274,9,-20.274,0,0.0649,6.43e-06,0.322,0.087,124.209,316556,3
2ND CHOICE,We Never Met,We Never Met,3obYzeG6ycjGPGVZyRmjTH,0.385,0.185,7,-24.819,1,0.0394,0.941,0.106,0.369,78.075,107416,4
Tom The Mail Man,"Sunset Visionary, Vol. 2",Brown Eyes and Backwoods,5Q8ILM1zVZWyGjIxAs8jdn,0.385,0.342,7,-7.215,1,0.05,0.0,0.0936,0.393,200.268,178200,3
Clairo,Immunity,I Wouldn't Ask You,6YTUGuz1IzqKFpNm0yGQws,0.363,0.376,1,-10.95,1,0.0515,0.0144,0.0841,0.242,133.76,416373,4
beabadoobee,Coffee,Coffee,429NtPmr12aypzFH3FkN9l,0.532,0.137,9,-18.208,1,0.0717,0.962,0.112,0.301,118.734,126825,4
Junior Varsity,Florida,Florida,34pOJWcmlxBUDkHaoqG1K2,0.511,0.276,7,-13.755,1,0.0523,0.0954,0.134,0.582,89.425,147672,4
Pity Party (Girls Club),I'm Sorry I'm Like This,Somewhere in the Universe,2sLAKUdiwa7Ik8XY2ow3DE,0.383,0.461,3,-10.844,1,0.0592,0.367,0.119,0.106,172.221,100465,4
Fousheé,i'm fine,i'm fine,3FiUsaCzKWi943pk0G9F0o,0.427,0.341,6,-7.737,1,0.0345,4.65e-06,0.138,0.402,76.86,100053,4
Tobias Dray,Maya,Maya,59cZhvYZEcKLrYwxCN7ovu,0.413,0.257,7,-13.298,1,0.0358,1.78e-05,0.145,0.0661,117.605,207955,4
Dominic Fike,"Elliot's Song (From ""Euphoria"" An HBO Original Series)","Elliot's Song - From ""Euphoria"" An HBO Original Series",7JIIY2oDPFkURYMCLJuzhe,0.394,0.327,4,-14.291,1,0.114,0.0,0.125,0.411,93.358,150320,4
BENEE,Hey u x,Happen To Me,4Kjo34blxmLG5HNUKEvHRM,0.661,0.643,0,-7.655,1,0.0319,0.0034,0.0966,0.36,148.994,231701,4
Healy,Tungsten,Everything's Fine,1hQM22L8FSThJB5drLpfQs,0.676,0.402,1,-9.305,1,0.0459,0.425,0.235,0.335,121.909,232131,4
Joji,BALLADS 1,YEAH RIGHT,1VGzxJnVQND7Cg5H5wGj14,0.672,0.588,1,-9.573,1,0.133,0.241,0.0992,0.204,169.033,174358,4
Mac Miller,Circles,Surf,1kwnxJNVl7cwcU98RvMBaR,0.828,0.182,1,-13.066,0,0.166,0.0706,0.15,0.231,147.279,330507,4
Cuco,Pendant,Pendant,45iJnPjul5yDYefM6GEYZB,0.515,0.477,3,-6.913,1,0.0268,0.0432,0.106,0.277,134.929,235832,4
